otuname	Ev01	Ev02	Ev03	Ev04	Ev05	Ev06	Ev07	Ev08	Ev09	Ev10	Pd01	Pd02	Pd03	Pd04	Pd05	Pd06	Pd07	Pd08	Pd09	Pd10	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu1	25855	22769	24210	29456	25111	12765	16798	29360	20575	17383	0	0	0	0	0	0	0	0	0	0	bacteria	bacteroidota	flavobacteriia	flavobacteriales	flavobacteriaceae	fulvibacter	fulvibacter_tottoriensis
Zotu2	8318	10553	8401	3461	8469	15153	12023	4013	10348	15405	1	0	0	0	0	0	0	0	0	0	bacteria	actinomycetota	actinomycetes	kitasatosporales	streptomycetaceae	streptomyces	streptomyces_sp
Zotu3	161	180	373	183	153	185	1748	352	418	595	6508	13315	4342	12179	9732	10042	12010	13967	8761	6259	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_insidiosa
Zotu4	0	0	0	0	0	0	0	0	0	0	3680	7598	23907	4859	1617	13014	9843	8069	3767	8607	bacteria	pseudomonadota	alphaproteobacteria	rhodospirillales	rhodospirillaceae	telmatospirillum	telmatospirillum_siberiense
Zotu5	0	0	0	0	0	0	0	0	0	0	16692	548	817	1518	4433	1604	512	2048	4520	7037	bacteria	campylobacterota	epsilonproteobacteria	campylobacterales	arcobacteraceae	malaciobacter	malaciobacter_marinus
Zotu6	0	0	0	0	0	0	0	0	0	0	1173	3419	2288	3336	3528	2303	6034	2532	2893	3199	bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_sp
Zotu7	0	0	0	0	0	0	0	0	0	0	3102	1703	809	4412	927	1027	3086	2410	5243	2728	bacteria	verrucomicrobiota	verrucomicrobiae	verrucomicrobiales	rubritaleaceae	rubritalea	rubritalea_marina
Zotu8	442	1105	1613	1574	693	6200	3611	917	2648	1065	0	0	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	rhodospirillales	kiloniellaceae	aestuariispira	aestuariispira_ectoiniformans
Zotu9	0	0	0	0	0	0	0	0	0	0	1151	1556	352	3207	1297	790	524	201	4516	2979	bacteria	mycoplasmatota	mollicutes	mycoplasmatales	mycoplasmataceae	mycoplasma	candidatus_mycoplasma_mahonii
Zotu10	0	0	0	0	0	0	0	0	0	0	1179	2999	1171	1655	1067	2149	799	412	485	1329	bacteria	bacillota	clostridia	lachnospirales	vallitaleaceae	petrocella	petrocella_atlantisensis
Zotu11	0	0	0	0	0	0	0	0	0	0	337	1174	370	280	335	1341	393	558	228	203	bacteria	bacillota	clostridia	lachnospirales	vallitaleaceae	petrocella	petrocella_atlantisensis
